transaction_date,debit,credit,amount,dr_cr_indicator,transaction_id,recipient_name,upi_id,bank,transaction_mode,note,source,category
2025-07-01T14:01:00Z,482,0,-482,DR,txn_818144230c132431,Zomato,zomato@icic,AXIS,UPI,,bank_statement,7
2025-07-02T17:38:00Z,370,0,-370,DR,txn_6e713322990afd5f,Zomato,zomato@icic,ICIC,UPI,,bank_statement,7
2025-07-03T13:36:00Z,296,0,-296,DR,txn_50f1324acab491e6,McDonald's,mcdonalds@hdfc,SBIN,UPI,,bank_statement,7
2025-07-03T18:45:00Z,258,0,-258,DR,txn_a2854b751a0ce9ad,Fuel Station,fuel.petrol@upi,AXIS,UPI,,bank_statement,5
2025-07-04T14:11:00Z,182,0,-182,DR,txn_6287428ad451c21f,Flipkart Flight,flights@flipkart,ICIC,UPI,,bank_statement,5
2025-07-05T16:45:00Z,419,0,-419,DR,txn_71fcd230a851c64c,Local Dhaba,dhaba.local@upi,HDFC,UPI,,bank_statement,7
2025-07-06T12:14:00Z,104,0,-104,DR,txn_31531855f1ae3a69,Ola,ola@icic,SBIN,UPI,,bank_statement,5
2025-07-06T22:06:00Z,252,0,-252,DR,txn_cfd2cd151e32ae16,McDonald's,mcdonalds@hdfc,AXIS,UPI,,bank_statement,7
2025-07-08T12:58:00Z,102,0,-102,DR,txn_86006d9009b4716e,Dominos,dominos@hdfc,HDFC,UPI,,bank_statement,7
2025-07-09T10:44:00Z,260,0,-260,DR,txn_6de2c3d1768b7612,Uber,uber@hdfc,SBIN,UPI,,bank_statement,5
2025-07-10T14:35:00Z,385,0,-385,DR,txn_a108d8d21bdd34b1,Dominos,dominos@hdfc,AXIS,UPI,,bank_statement,7
2025-07-11T09:35:00Z,288,0,-288,DR,txn_f8f942580e8cccab,Uber,uber@hdfc,HDFC,UPI,,bank_statement,5
2025-07-11T12:38:00Z,401,0,-401,DR,txn_61dd0fc4125cd24b,DMart,dmart@hdfc,KOTAK,UPI,,bank_statement,4
2025-07-12T13:35:00Z,452,0,-452,DR,txn_8739e54f7ff873a8,Subway,subway@okaxis,AXIS,UPI,,bank_statement,7
2025-07-13T10:12:00Z,692,0,-692,DR,txn_358f3666a7d98d05,Blinkit,blinkit@okaxis,KOTAK,UPI,,bank_statement,4
2025-07-13T11:30:00Z,229,0,-229,DR,txn_b24778ac2dccad3c,Fuel Station,fuel.petrol@upi,ICIC,UPI,,bank_statement,5
2025-07-13T21:42:00Z,410,0,-410,DR,txn_a2a9ac3ce3985c1e,McDonald's,mcdonalds@hdfc,SBIN,UPI,,bank_statement,7
2025-07-14T19:13:00Z,286,0,-286,DR,txn_14bfe14b591f915d,Flipkart Flight,flights@flipkart,HDFC,UPI,,bank_statement,5
2025-07-15T12:13:00Z,0,2183,2183,CR,txn_dab1f22b7f5c4225,Amit Kumar,rahul.sharma@upi,ICIC,UPI,Received from Amit Kumar,bank_statement,10
2025-07-15T17:45:00Z,274,0,-274,DR,txn_bdeb23c0d6a2be7f,Rapido,rapido@okaxis,ICIC,UPI,,bank_statement,5
2025-07-16T20:06:00Z,135,0,-135,DR,txn_f0cd1a8d1d9a4558,Rapido,rapido@okaxis,AXIS,UPI,,bank_statement,5
2025-07-17T14:57:00Z,516,0,-516,DR,txn_005a9e9e776e4d7f,Spencer,spencer@hdfc,KOTAK,UPI,,bank_statement,4
2025-07-17T20:53:00Z,247,0,-247,DR,txn_bdd7a04113c7b88f,Starbucks,starbucks@hdfc,HDFC,UPI,,bank_statement,7
2025-07-18T17:44:00Z,788,0,-788,DR,txn_9073cff503aaea33,Spencer,spencer@hdfc,KOTAK,UPI,,bank_statement,4
2025-07-18T21:29:00Z,83,0,-83,DR,txn_e832bec6e32d2006,Ola,ola@icic,KOTAK,UPI,,bank_statement,5
2025-07-19T11:53:00Z,605,0,-605,DR,txn_8a0e87657452a627,Blinkit,blinkit@okaxis,AXIS,UPI,,bank_statement,4
2025-07-19T16:29:00Z,276,0,-276,DR,txn_e78a03ba6bf5a35a,Local Dhaba,dhaba.local@upi,KOTAK,UPI,,bank_statement,7
2025-07-20T17:15:00Z,178,0,-178,DR,txn_4e82bac06c238399,Ola,ola@icic,KOTAK,UPI,,bank_statement,5
2025-07-21T22:12:00Z,130,0,-130,DR,txn_02c693a59b3efb63,Cafe Coffee Day,caffe.ccd@hdfc,SBIN,UPI,,bank_statement,7
2025-07-22T12:43:00Z,74,0,-74,DR,txn_5e00bebc2b6cac3c,Fuel Station,fuel.petrol@upi,ICIC,UPI,,bank_statement,5
2025-07-22T16:51:00Z,445,0,-445,DR,txn_7799bee624c9f4c0,Zomato,zomato@icic,ICIC,UPI,,bank_statement,7
2025-07-23T13:30:00Z,84,0,-84,DR,txn_dfda96ba7bf65e32,Zomato,zomato@icic,HDFC,UPI,,bank_statement,7
2025-07-23T19:53:00Z,441,0,-441,DR,txn_51b1c3c02a94331d,DMart,dmart@hdfc,KOTAK,UPI,,bank_statement,4
2025-07-25T09:30:00Z,0,75000,75000,CR,txn_e6e98c7cbd93e3aa,SBIN,salary.7@kotak,KOTAK,INB,Monthly Salary,bank_statement,
2025-07-25T11:08:00Z,218,0,-218,DR,txn_511d8462050643dd,Fuel Station,fuel.petrol@upi,AXIS,UPI,,bank_statement,5
2025-07-26T10:29:00Z,101,0,-101,DR,txn_27da4201f3000a34,Rapido,rapido@okaxis,KOTAK,UPI,,bank_statement,5
2025-07-26T20:22:00Z,64,0,-64,DR,txn_b0ebe8bec44b71af,Zomato,zomato@icic,SBIN,UPI,,bank_statement,7
2025-07-27T10:15:00Z,69,0,-69,DR,txn_2509f9d449517adf,Spotify,spotify@okaxis,OKAXIS,UPI,Spotify Premium,bank_statement,9
